# sent_id = 1003
# file = 00001
# text = 자기계발을 원하는 사람에게 가장 적합한 학교
1	자기계발을	자기+계발을	자기+계발+을	PRON	NP+NNG_JKO	NP+NNG+JKO
2	원하는	원하+는	원하+는	VERB	VV+ETM	VV+ETM
3	사람에게	사람+에게	사람+에게	NOUN	NNG+JKB	NNG+JKB
4	가장	가장	가장	ADV	MAG	MAG
5	적합한	적합한	적합하+ㄴ	ADJ	VA_ETM	VA+ETM
6	학교	학교	학교	NOUN	NNG	NNG

# sent_id = 1005
# file = 00001
# text = 과잉교육 기준을 36개월 미만과 36개월 이상을 서로 다르게 적용해야 한다 .
1	과잉교육	과잉교육	과잉교육	NOUN	NNG	NNG
2	기준을	기준+을	기준+을	NOUN	NNG+JKO	NNG+JKO
3	36개월	36+개월	36+개월	NUM	SN+NNB	SN+NNB
4	미만과	미만+과	미만+과	NOUN	NNG+JC	NNG+JC
5	36개월	36+개월	36+개월	NUM	SN+NNB	SN+NNB
6	이상을	이상+을	이상+을	NOUN	NNG+JKO	NNG+JKO
7	서로	서로	서로	ADV	MAG	MAG
8	다르게	다르+게	다르+게	ADJ	VA+EC	VA+EC
9	적용해야	적용해+야	적용하+어야	VERB	VV+EC	VV+EC
10	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1006
# file = 00001
# text = 최근 일하던 곳에서 월급을 받지 못해 생활유지가 어려워 범행을 저질렀다 .
1	최근	최근	최근	NOUN	NNG	NNG
2	일하던	일하+던	일하+던	VERB	VV+ETM	VV+ETM
3	곳에서	곳+에서	곳+에서	NOUN	NNG+JKB	NNG+JKB
4	월급을	월급+을	월급+을	NOUN	NNG+JKO	NNG+JKO
5	받지	받+지	받+지	VERB	VV+EC	VV+EC
6	못해	못해	못하+어	AUX	VX_EC	VX+EC
7	생활유지가	생활유지+가	생활유지+가	NOUN	NNG+JKS	NNG+JKS
8	어려워	어려+워	어렵+어	ADJ	VA+EC	VA+EC
9	범행을	범행+을	범행+을	NOUN	NNG+JKO	NNG+JKO
10	저질렀다	저질렀+다	저지르+었+다	VERB	VV+EP_EF	VV+EP+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1007
# file = 00001
# text = 이후 100만원은 월세 등으로 모두 사용했고 , 돈이 떨어져 추가 범죄를 시도하려 했다 .
1	이후	이후	이후	NOUN	NNG	NNG
2	100만원은	100만+원은	100만+원+은	NUM	NR+NNB_JX	NR+NNB+JX
3	월세	월세	월세	NOUN	NNG	NNG
4	등으로	등+으로	등+으로	NOUN	NNB+JKB	NNB+JKB
5	모두	모두	모두	ADV	MAG	MAG
6	사용했고	사용했+고	사용하+었+고	VERB	VV+EP_EC	VV+EP+EC
7	,	,	,	PUNC	SP	SP
8	돈이	돈+이	돈+이	NOUN	NNG+JKS	NNG+JKS
9	떨어져	떨어져	떨어지+어	VERB	VV_EC	VV+EC
10	추가	추가	추가	NOUN	NNG	NNG
